Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue,Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder,Relationship Status,Lifetime Value,Priority
Gulf Helicopter Company,Q-GulfHelCo,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Aviation,Owned by Gulf International Services  - provides helicopter services across Gulf,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,189 Million $,BRONZE (100-500M $),360+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Gulf Insurance Group,K-GIG,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,"AXA Gulf, is a leading insurance provider in Qatar and the broader Middle East and North Africa (MENA) region","Kuwait City, Kuwait",0,Independent,Unlisted,Not Applicable,2.2 Billion $,GOLD (1-10B $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Gulf International Services ,Q-GIS,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Holding Company,"Holding Company primarily in Oil and Gas - they own Al Koot, Gulf Drilling International, Gulf Helicopter Company","Doha, Qatar",0,Publicly Listed,Listed,1.79 Million $,1.26 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Gulf Organisation for Research & Development ,Q-GORD,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Green Energy,"Colloborative Ownership - Platform, Consulting, Certifications of Green Energy in Gulf","Doha, Qatar",0,Independent,Unlisted,Not Applicable,43 Million $,NICKEL (20M-50M $),70+ Employees,10 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Gulf Warehousing Company,Q-GWC,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Logistics and Warehousing,Logistic and Supply Chain management services,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,430 Million $,BRONZE (100-500M $),350+ Employees,10 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Hamad Bin Khalifa University,Q-HBKU,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,Premier institution in Qatar focused on advanced education and research - part of Qatar Foundation’s Education City,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,130 Million $,BRONZE (100-500M $),750+ Employees,10 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Hamad International Airport,Q-HIA,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Shipping,Qatars primary airport and aviation hub,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,1 Billion $,GOLD (1-10B $),"1,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Hamad Medical Corporation,Q-HMC,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Hospitals - 1000+ beds,"3000 bed+ Top Tertiary Provider -  2024 Outpatient :  3 Million+ / Inpatient : 160,000+ / Surgical Procedures: 60,000+","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,925 Million $,SILVER (500-1B$),"10,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Hassad Food,Q-Hassad,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,Food & Beverages,Food Holding Company to ensure Food Security of Qatar - Also farmlands and projects outside Qatar,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,32 Million $,NICKEL (20M-50M $),140+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
ICT Qatar,Q-ICTQatar,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,"Lebanese diversified System Integrator Service provider based in Qatar - Part of Midis group - Owns I4, ICT Qatar ","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,3.2 Billion $ (Global),GOLD (1-10B $),4000 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Industries Qatar,Q-IndustriesQ,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,Holding company owns entities such as Qatar Steel,"Doha, Qatar",0,Publicly Listed,Listed,81 Billion,4.5 Billion $,GOLD (1-10B $),"3,700 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
INMA Holding Company,Q-Inma,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Holding Company,"Formerly Islamic Holding Group - financial, real estate and investment","Doha, Qatar",0,Publicly Listed,Listed,60 Million $,8 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Intaleq,Q-Intaleq,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,"Part of Aspire Group (Subsidiary) - Trying to be a system integrator, specializing in digital and smart solutions, within sports industry.","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,21 Million $,NICKEL (20M-50M $),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Internal Security Force,Q-Lekhwiya,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Qatars Internal Security falls under them,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Jaidah Group,Q-Jaidah,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Automobile, Energy, Real Estate etc","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),790+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Katara Cultural Village,Q-KataraCult,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,"Cultural destination of Qatar - Katara serves as a vibrant hub for arts, culture, and heritage.","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,5 Million $,LEAD (0-20M),60+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Katara Hospitality,Q-KataraHosp,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,"Prominent global hotel owner and operator - Owns 40+ incl Savoy London, Ritz Carlton, Sheraton in Qatar and the Katara Towers","Doha, Qatar",0,Privately Held,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),350+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Lesha Bank,Q-Lesha,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,Formerly Qatar First Bank - Small Sharia Bank authorised by QFCRA and under QSE,"Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,79 Million $,COPPER (50M-100M $),125+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Lusail International Circuit,Q-LusailCircuit,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,Qatar’s premier motorsport venue,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Lusail University,Q-LusailUniv,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,"Qatar’s first private national university, located in Lusail City","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,118 Million $,BRONZE (100-500M $),380+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Malomatia,Q-Malomatia,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,Government Owned System Integrator of Qatar ,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,140 Million $,BRONZE (100-500M $),860+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Mannai,Q-Mannai,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,Largest System Integrator of Qatar ,"Doha, Qatar",0,Publicly Listed,Listed,1.79 Billion $,1.5 Billion $,GOLD (1-10B $),"2,000 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Marafeq,Q-Marafeq,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Utilities,"Full life cycle utility company - District Cooling, Central Gas Supply, Waste Management, Operations & maintenance (O&M) services","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,48 Million $,NICKEL (20M-50M $),100+ Employees,10 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Medium
Masraf Al Rayan,Q-MAR,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"5th Largest bank in terms of Assets -  Sharia Compliant Retail, Corporate, Investment and Treasury, Digital","Doha, Qatar",0,Publicly Listed,Listed,6 Billion $,854 Million $,SILVER (500-1B$),225+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Mazaya Real Estate Development,Q-Mazaya,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Real Estate,"Sharia-compliant real estate investments - encompasses residential, commercial, and industrial projects","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,40 Million $,NICKEL (20M-50M $),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Media City Qatar,Q-MediaCity,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Media,"Established by Decree to focus on various media innovation, including broadcasting, digital publishing, gaming, and content creation.","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,Unknown,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Medicare Group,Q-Medicare,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Holding Company,"They own Al Ahli Hospital, which is their primary asset","Doha, Qatar",0,Publicly Listed,Listed,360 Million $,500 Million $,SILVER (500-1B$),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Meeza,Q-Meeza,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,Largest System Integrator of Qatar ,"Doha, Qatar",0,Publicly Listed,Listed,1.95 Billion $,60 Million $,COPPER (50M-100M $),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Mekdam Holding Group,Q-Mekdam,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Mekdam Technology, Mekdam Steel etc","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,150 Million $,BRONZE (100-500M $),1000+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Mesaieed Petrochemical holding company,Q-MPHC,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,"Holding Company in Petrochemical sector - Holds Qchem, QVC etc.","Doha, Qatar",0,Holding Company,Unlisted,Not Applicable,200 Million $,BRONZE (100-500M $),780+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Mesaieed Power Company Limited,Q-MPCL,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Power,"Mesaieed Power Plant, the third Independent Power Producer (IPP) project in Qatar","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,500 Million $,BRONZE (100-500M $),92 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Milaha,Q-Milaha,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Shipping,Officially Qatar Navigation - Ships gas in partnership with QatarEnergy LNG,"Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,780 Million $,SILVER (500-1B$),"4,000 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Commerce and Industry,Q-MOCI,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry - All non freezone Qatar Incorporations happens under them,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Communications and Information Technology,Q-MCIT,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Key Ministry governing Communication and IT,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,GOLD (1-10B $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Culture,Q-MoCul,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,"Organises cultural events, fostering cultural cooperation, publishing local literature, enhancing awareness of cultural heritage","Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Education and Higher Education,Q-MOEHE,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Nodal Education Ministry,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Endowments and Islamic Affairs,Q-AWQAF,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry - Islamic Affairs - Also Awqaf,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Environment and Climate Change,Q-MoEnv,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Nodal Environmental Ministry,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Finance,Q-MOF,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Nodal Ministry - All payments of government go through them,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Foreign Affairs,Q-MOFA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry of qatar - Foreign Affairs,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Interior,Q-MOI,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,"Nodal Ministry - ensuring internal security, maintaining law and order, and safeguarding borders and coasts","Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,SILVER (500-1B$),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Justice,Q-MOJ,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry - Justice,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Labor,Q-MOL,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,"Nodal Ministry - regulating employment affairs, implementing labor laws, and safeguarding workers’ rights in the country","Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Municipality,Q-MOMun,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry of Qatar - Municipality,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Public Health,Q-MOPH,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry - Health Governing Body,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Social Development and Family,Q-MSDF,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Well-being of Qatari families and individuals through various initiatives and services,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Sports and Youth,Q-MSY,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry - Sports club and Sports Activities,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ministry of Transport,Q-MOT,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Ministry,Ministry - Transport,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Mowasalat Qatar,Q-Mowasalat,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Taxi and Limo Services,"State Owned - Karwa Taxi, School Buses, Metro Buses","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,3.3 Billion $,GOLD (1-10B $),"10,000 Employees",30+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Very High
Msheireb Properties,Q-Msheireb,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Real Estate,Subsidiary of Qatar Foundation - leading real estate development company - Flagship is Msheireb Downtown ,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,35 Million $,NICKEL (20M-50M $),270 Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,High
Nakhilat,Q-Nakilat,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,"Qatar Gas Transport Company - comprises 69 LNG carriers, representing 12% of the global LNG shipping capacity.","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,1 Billion $,GOLD (1-10B $),130 Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Nasser Bin Khaled,Q-NBK,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Automobile, Real Estate, Travel and Tourism, Construction and heay equipment.","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,33 Million $,NICKEL (20M-50M $),95 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
National Cyber Security Agency,Q-NCSA,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Nodel Agency - safeguarding nation’s digital infrastructure and enhancing cybersecurity posture across public & private sectors,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
National Planning Council,Q-NPC,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Replaced Planning and Statistics Authority in 2024 - entrusted with steering Qatar’s developmental agenda,"Doha, Qatar",0,Ministry,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Naufar,Q-Naufar,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Hospitals -  100+ Beds,"Premier healthcare facility in Qatar, dedicated to the treatment and rehabilitation of individuals with substance use disorders. ","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,50 Million $,NICKEL (20M-50M $),300+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
North Oil Company,Q-NOC,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,"Operates Al Shaheen oil field, Qatar’s largest offshore oil field - 300,000 barrels of oil per day, about 45% of Qatar’s total oil.   ","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,270 Million $,BRONZE (100-500M $),800+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Northwestern University in Qatar,Q-NWU,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,Campus is located in Education City,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Unknown,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ooredoo Group,Q-Ooredoo,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Telecommunication,Premier Telecom Service Provider in Qatar - Partly state owned,"Doha, Qatar",0,Publicly Listed,Listed,11 Billion $,6.5 Billion $,GOLD (1-10B $),"12,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Orphans Care Center ,Q-Dreama,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,NGO,"Dreama - Falls under MSDF - takes care of Orphans - One of 7 entities Wifaq, Dreama, Nama, Ehsan, Aman, Alnoor, QSW","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Unknown,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
ORYX GTL,Q-QOryx,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,Converts gas to fuel - Gas-to-liquids (GTL) plant located in Ras Laffan Industrial City,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,97 Million $,COPPER (50M-100M $),650+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Power International Holding,Q-PIH,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Real Estate, Agriculture and Food Industry, Lifestyle Entertainment and Hospitality","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,1.15 Billion $,GOLD (1-10B $),"35,000 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Primary Health Care Corporation,Q-PHCC,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Utilities,"Primary Healthcare of Qatar - preventive care, diagnostics, and treatment - No Inpatient","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,Unknown,BRONZE (100-500M $),"6,500 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Private Engineering Office,Q-PrivEO,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,"Under the Emiri Diwan - overseeing development, project management, and property management of the Emir","Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Protection and Social Rehabilitation Center,Q-Aman,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Government Department,"Aman - under MSDF as of 2025 - They take care of victims, women and children.","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Not Applicable,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Public Prosecution,Q-PubPro,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Independent judicial authority for representing society in criminal cases,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Public Works Authority,Q-Ashghal,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,Government Public Works of Qatar,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,320 Million $,BRONZE (100-500M $),"3,300 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Airways,Q-QAirways,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Aviation,Premier and National Airline - Owned by the Government of Qatar,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,22 Billion $,PLATINUM (10B$ +),"48,000 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Aluminium Limited,Q-Qatalum,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Others,Qatalum - Prominent Aluminium Smelter based in Messaieed,"Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,1.7 Billion $,GOLD (1-10B $),"1,330 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Amiri Guard,Q-AmiriGuard,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,Elite military unit within Armed Forces - Security of Emir,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Armed Forces,Q-QArmedF,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Green Energy,Armed Forces of Qatar,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Assistive Technology Center,Q-MADA,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Others,"Mada - Part of MSDF - Wifaq, Dreama, Nama, Ehsan, Aman, Alnoor, Qatar Social Work (7 Entities)","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Not Applicable,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Aviation Services,Q-QAS,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Aviation,Premier ground handling organization headquartered at Hamad International Airport (HIA) - Subsidiary of Qatar Airways,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Central Bank,Q-QCB,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"Primary monetary authority in Qatar, overseeing the nation’s banking and financial sectors","Doha, Qatar",0,Independent,Unlisted,Not Applicable,Not Applicable,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Central Securities Depository,Q-Edaa,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,"Safekeeping, clearing, and settlement of securities and other financial instruments listed on the Qatar Exchange","Doha, Qatar",0,Independent,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Chemical Company,Q-Qchem,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,Prominent petrochemical enterprise based in Mesaieed ,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,1 Billion $,GOLD (1-10B $),865 Employees,25+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
